
File(s): C:\DSSAT46\Drybean\PlantGro.OUT

 Day           LWAD(Run 1)   SWAD(Run 1)   GWAD(Run 1)  
 0             0             0             0            
 1             0             0             0            
 2             0             0             0            
 3             0             0             0            
 4             0             0             0            
 5             5             2             0            
 6             5             2             0            
 7             5             2             0            
 8             6             3             0            
 9             6             3             0            
 10            6             4             0            
 11            7             4             0            
 12            7             5             0            
 13            7             5             0            
 14            8             5             0            
 15            10            6             0            
 16            11            7             0            
 17            12            8             0            
 18            15            9             0            
 19            17            10            0            
 20            20            12            0            
 21            23            13            0            
 22            26            16            0            
 23            29            20            0            
 24            35            22            0            
 25            40            23            0            
 26            47            27            0            
 27            54            31            0            
 28            58            33            0            
 29            67            38            0            
 30            77            44            0            
 31            89            51            0            
 32            96            57            0            
 33            110           66            0            
 34            119           74            0            
 35            129           84            0            
 36            136           91            0            
 37            145           99            0            
 38            155           112           0            
 39            170           128           0            
 40            186           145           0            
 41            202           164           0            
 42            217           185           0            
 43            230           204           0            
 44            245           226           0            
 45            259           252           0            
 46            279           282           0            
 47            296           313           0            
 48            313           347           0            
 49            327           379           0            
 50            342           412           0            
 51            344           424           0            
 52            356           463           0            
 53            370           496           0            
 54            380           519           0            
 55            390           552           0            
 56            399           586           0            
 57            410           622           0            
 58            418           655           1            
 59            422           678           5            
 60            424           691           12           
 61            430           709           21           
 62            436           732           31           
 63            441           751           47           
 64            433           756           70           
 65            434           774           95           
 66            431           777           122          
 67            430           789           154          
 68            427           798           188          
 69            419           790           225          
 70            413           792           265          
 71            407           795           305          
 72            397           791           348          
 73            390           790           392          
 74            378           787           434          
 75            366           775           492          
 76            354           768           552          
 77            344           761           615          
 78            334           758           681          
 79            323           753           746          
 80            313           750           794          
 81            230           720           830          
 82            170           703           869          
 83            126           687           896          
 84            93            672           926          
 85            69            659           946          
 86            51            647           961          
 87            38            636           972          
