



    Run : 1
    Treatment : 1

    Experiment: UFGA8201

      GWAD  CWAD
         0     0 
         0    88 
         0   341 
         0  1070 
         0  3017 
         0  3263 
        50  3214 
       144  3479 
       994  5688 
      1044  6012 
      2182  6203 
      2009  5902 
      2002  5532 

    Output File: GROWTH

      LWAD  SWAD  GWAD  RWAD  CWAD
         5     6     7     8     9 
         0     0     0     0     0 
         0     0     0     0     0 
         0     0     0     0     0 
        14    14     0    15    29 
        14    14     0    17    29 
        21    14     0    23    35 
        66    14     0    33    80 
       137    14     0    50   152 
       228    14     0    73   243 
       269    14     0   133   283 
       366    14     0   218   380 
       534    17     0   326   551 
       661    25     0   518   686 
       761    38     0   595   799 
       907    67     0   776   974 
      1227   166     0   944  1393 
      1652   383     0  1056  2035 
      1772   474     0  1147  2246 
      1868   560     0  1155  2428 
      2083   920     0  1170  3002 
      2321  1470     0  1250  3791 
      2398  1688     0  1322  4085 
      2437  1820     0  1392  4257 
      2478  1977     0  1442  4455 
      2427  1697     0  1480  4519 
      2324  1729     0  1496  4525 
      2202  1761     0  1489  4517 
      2060  1787     0  1476  4465 
      2054  1787   152  1543  4616 
      2047  1787   320  1630  4783 
      2041  1787   487  1697  4949 
      2035  1787   655  1790  5118 
      2029  1787   821  1892  5283 
      2023  1787   983  2046  5443 
      2017  1787  1134  2156  5594 
      2011  1787  1301  2255  5760 
      2005  1787  1468  2328  5926 
      1999  1787  1635  2428  6094 
      1993  1787  1806  2493  6264 
      1987  1787  1976  2560  6433 
      1981  1787  2143  2684  6601 
      1981  1787  2143  2684  6601 
